latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2020-10-26,29.1,23.1,35.1,32.4,63,32.00,21.0
2020-10-27,26.8,22.6,31.7,25.6,65,117.50,24.0
2020-10-28,27.3,22.1,32.7,28.4,65,25.30,15.0
2020-10-29,30.5,22.0,36.0,27.7,63,15.60,21.0
2020-10-30,30.1,23.3,35.4,26.3,63,18.90,14.0
2020-10-31,28.2,22.6,33.1,28.1,63,22.50,18.0
2020-11-01,28.5,21.5,36.1,28.1,63,20.60,13.0
2020-11-02,27.5,23.0,32.4,33.5,63,22.80,19.0
2020-11-03,28.0,21.5,32.6,22.7,61,5.20,12.0
2020-11-04,29.5,21.8,35.0,30.2,61,6.30,11.0
2020-11-05,29.1,22.6,35.9,38.9,65,108.80,16.0
2020-11-06,30.7,21.4,37.1,34.2,61,6.10,12.0
2020-11-07,30.9,22.9,36.3,28.4,53,4.40,13.0
2020-11-08,29.5,22.7,35.5,31.3,61,4.30,14.0
2020-11-09,28.8,22.0,34.4,28.4,61,10.30,18.0
2020-11-10,29.2,22.6,34.7,31.3,53,5.30,17.0
2020-11-11,28.2,22.0,33.7,35.3,61,12.80,14.0
2020-11-12,31.0,22.6,36.7,28.1,61,5.20,8.0
2020-11-13,31.2,23.5,37.0,32.0,63,14.40,12.0
2020-11-14,29.6,22.9,36.7,28.4,63,17.30,13.0
2020-11-15,29.8,23.2,35.5,30.2,63,20.70,21.0
2020-11-16,30.3,23.0,35.9,31.7,63,10.70,13.0
2020-11-17,29.8,23.7,34.7,28.8,63,13.40,14.0
2020-11-18,30.0,23.0,36.5,31.0,65,24.30,14.0
2020-11-19,29.8,21.8,35.9,27.7,65,24.90,15.0
2020-11-20,28.4,22.5,34.3,26.6,65,21.30,8.0
2020-11-21,28.0,23.1,33.8,23.4,63,14.00,18.0
2020-11-22,26.5,22.9,31.3,20.9,63,24.00,21.0
2020-11-23,27.4,23.2,32.7,27.0,63,12.40,15.0
2020-11-24,26.7,22.8,32.0,23.8,51,1.60,14.0
2020-11-25,27.1,22.6,32.7,31.0,61,5.30,12.0
2020-11-26,28.7,23.0,33.9,28.1,61,4.80,7.0
2020-11-27,26.6,23.4,30.4,21.2,51,0.80,5.0
2020-11-28,27.0,22.5,32.8,21.2,65,24.10,15.0
2020-11-29,24.6,22.7,28.2,28.1,63,51.10,23.0
2020-11-30,26.0,22.3,30.1,23.4,63,23.80,18.0
2020-12-01,28.3,21.2,33.8,26.6,63,8.70,13.0
2020-12-02,28.9,22.7,35.8,22.7,63,32.20,18.0
2020-12-03,28.0,23.0,33.1,24.5,53,4.60,13.0
2020-12-04,28.4,22.7,33.0,24.8,61,7.70,17.0
2020-12-05,28.8,22.6,34.7,24.8,65,30.90,18.0
2020-12-06,27.7,22.4,33.3,27.4,61,10.20,19.0
2020-12-07,27.0,22.7,32.2,41.0,61,13.40,23.0
2020-12-08,31.6,23.0,36.8,34.9,61,8.70,11.0
2020-12-09,30.2,21.4,34.8,32.4,61,10.90,15.0
2020-12-10,28.5,22.2,33.5,26.3,61,5.00,13.0
2020-12-11,27.5,22.5,32.3,28.4,61,10.00,18.0
2020-12-12,26.6,22.5,31.5,26.6,65,63.10,24.0
2020-12-13,27.4,22.6,33.2,29.5,63,19.90,24.0
2020-12-14,27.5,22.7,32.7,29.9,63,28.20,24.0
2020-12-15,26.2,22.0,30.7,27.7,61,6.40,12.0
2020-12-16,26.7,22.0,30.7,33.5,63,11.20,10.0
2020-12-17,27.2,22.3,30.6,39.2,63,21.60,21.0
2020-12-18,26.6,23.0,30.0,36.7,63,19.60,18.0
2020-12-19,26.8,22.5,30.9,40.0,55,4.20,17.0
2020-12-20,27.8,22.4,31.0,35.3,51,1.60,10.0
2020-12-21,27.8,21.6,31.3,32.0,53,4.60,10.0
2020-12-22,28.0,23.1,32.7,30.6,53,3.80,18.0
2020-12-23,27.5,22.5,32.5,27.4,51,3.10,18.0
2020-12-24,28.6,22.7,33.8,29.2,51,1.20,8.0
2020-12-25,28.5,21.5,34.5,28.4,61,5.20,16.0
2020-12-26,28.2,22.6,33.1,24.5,63,12.20,9.0
2020-12-27,28.2,22.8,32.2,33.5,63,10.80,17.0
2020-12-28,28.8,22.2,34.2,31.0,65,10.40,14.0
2020-12-29,27.5,22.8,31.3,37.8,61,12.60,23.0
2020-12-30,26.8,22.8,31.4,31.0,63,17.50,17.0
2020-12-31,26.1,22.8,29.6,30.6,63,12.40,23.0
2021-01-01,27.1,22.5,32.2,26.3,63,23.80,20.0
2021-01-02,27.4,22.5,31.7,37.4,63,15.00,22.0
2021-01-03,28.2,22.8,32.7,39.2,63,8.60,14.0
2021-01-04,28.4,22.5,34.0,33.8,63,13.90,15.0
2021-01-05,27.7,22.4,33.5,24.8,65,22.90,13.0
2021-01-06,28.4,22.3,35.2,28.1,65,24.70,16.0
2021-01-07,28.4,22.4,33.5,28.1,61,3.80,9.0
2021-01-08,27.0,23.0,31.8,15.5,51,1.30,9.0
2021-01-09,27.8,22.4,33.4,28.1,63,9.70,18.0
2021-01-10,25.8,23.0,30.2,23.8,65,61.00,23.0
2021-01-11,27.8,22.2,33.4,29.5,63,23.40,12.0
2021-01-12,28.6,22.7,35.4,29.2,63,22.80,14.0
2021-01-13,28.0,23.2,32.4,41.8,55,4.60,13.0
2021-01-14,27.9,23.1,33.4,35.6,61,8.70,15.0
2021-01-15,27.8,21.9,32.0,30.2,51,1.10,6.0
2021-01-16,27.0,23.2,31.0,34.9,55,4.50,13.0
2021-01-17,28.5,22.5,33.9,33.5,61,4.60,9.0
2021-01-18,27.9,22.2,31.8,38.2,61,13.70,14.0
2021-01-19,27.9,22.2,32.9,29.9,63,12.50,16.0
2021-01-20,29.2,22.5,35.3,24.5,53,1.70,5.0
2021-01-21,29.1,23.1,34.9,21.6,53,5.00,13.0
2021-01-22,28.9,22.7,34.3,40.0,53,5.00,13.0
2021-01-23,29.5,22.5,35.2,23.0,63,4.80,5.0
2021-01-24,28.5,22.8,34.6,26.6,63,5.30,5.0
2021-01-25,28.1,22.0,33.2,25.2,53,1.70,4.0
2021-01-26,28.1,21.6,33.5,36.0,65,24.50,15.0
2021-01-27,27.0,22.9,30.3,41.0,61,14.90,22.0
2021-01-28,28.0,22.7,31.8,38.5,61,7.80,13.0
2021-01-29,27.8,22.4,32.1,43.9,61,6.50,15.0
2021-01-30,28.0,22.3,32.8,39.2,61,11.40,14.0
2021-01-31,30.0,22.5,35.6,36.7,63,12.00,10.0
2021-02-01,29.2,22.1,35.7,29.9,63,9.90,8.0
2021-02-02,28.9,21.9,34.2,40.3,63,10.30,13.0
2021-02-03,27.8,22.5,32.5,36.0,61,8.90,13.0
